Date,County,O3_Mean,CO_Mean,SO2_Mean,NO2_Mean
2005-01-01,Adams,0.0068239999999999,0.715789,0.130435,17.217391
2005-01-01,District of Columbia,0.009706,1.0157889999999998,3.458333,25.791667
2005-01-01,Orange,0.023941,0.994737,0.0,9.333333
2005-01-01,Saint Clair,0.009353,0.415789,0.625,12.583333
2005-01-01,Linn,0.025353,1.347368,0.958333,0.916667
2005-01-01,Wyandotte,0.010941,0.521053,6.625,14.041667000000002
2005-01-01,East Baton Rouge,0.022294,0.068421,4.0,7.041667
2005-01-01,Suffolk,0.011118,0.305263,1.304348,11.318182
2005-01-01,Bronx,0.007412,0.663158,15.666667000000002,24.25
2005-01-01,Queens,0.010941,0.489474,8.458333,21.666667
2005-01-01,Suffolk,0.017118,0.063158,8.791667,11.083333
2005-01-01,Philadelphia,0.010294,0.505263,7.166667,24.5
2005-01-01,Dallas,0.021471,0.326316,0.0,7.0833330000000005
2005-01-01,El Paso,0.008118,0.710526,1.818182,24.625
2005-01-01,El Paso,0.012294,0.652632,1.086957,19.875
2005-01-01,Harris,0.012529,0.0,4.25,10.4
2005-01-01,Fairfax,0.014824,0.710526,1.375,7.958333
2005-01-01,Fairfax,0.017882,0.294737,6.375,15.5
2005-01-01,Milwaukee,0.014176,0.3,2.0,9.166667
2006-01-01,Maricopa,0.013824,0.910526,0.875,32.708333
2006-01-01,Maricopa,0.020235,0.352632,0.791667,21.458333
2006-01-01,Maricopa,0.013706,1.3,3.791667,29.833333000000003
2006-01-01,Pima,0.020294,0.563158,1.208333,23.541667
2006-01-01,Contra Costa,0.023824,0.388889,0.045455,9.478261
2006-01-01,Contra Costa,0.029176,0.3,1.0,2.363636
2006-01-01,Contra Costa,0.022529,0.327778,0.136364,9.913043
2006-01-01,Contra Costa,0.018706,0.622222,1.272727,10.913043
2006-01-01,Imperial,0.009588,1.238889,0.195652,20.173913
2006-01-01,Los Angeles,0.018,0.361111,0.304348,11.478261
2006-01-01,Los Angeles,0.012412,0.372222,2.043478,9.217391
2006-01-01,Los Angeles,0.017765,0.238889,0.0,12.304348
2006-01-01,Los Angeles,0.013529,0.166667,2.4347830000000004,15.652174
2006-01-01,Orange,0.021235,0.25,0.0,11.73913
2006-01-01,Riverside,0.0131759999999999,0.227778,0.304348,12.434783
2006-01-01,Sacramento,0.035059,0.227778,0.0,2.565217
2006-01-01,Sacramento,0.032706,0.4,1.086957,1.956522
2006-01-01,San Bernardino,0.026,0.236842,0.0,9.086957
2006-01-01,San Diego,0.027412,0.5,3.391304,12.73913
2006-01-01,San Diego,0.022824,0.511111,3.217391,14.652174
2006-01-01,San Diego,0.023471,0.8111109999999999,1.869565,12.695652
2006-01-01,San Francisco,0.027059,0.422222,0.954545,8.739130000000001
2006-01-01,Santa Barbara,0.034941,0.283333,0.0,1.956522
2006-01-01,Santa Barbara,0.030294,0.2,0.173913,2.608696
2006-01-01,Santa Barbara,0.026471,0.0,0.304348,6.9565220000000005
2006-01-01,Santa Barbara,0.034941,0.0,0.217391,1.478261
2006-01-01,Santa Cruz,0.036294,0.457895,1.043478,1.347826
2006-01-01,Solano,0.019118,0.422222,1.090909,10.130435
2006-01-01,Denver,0.016059,0.631579,2.391304,25.0
2006-01-01,District of Columbia,0.010765,0.821053,5.0833330000000005,12.541667
2006-01-01,Orange,0.017882,0.994737,1.25,13.458332999999998
2006-01-01,Saint Clair,0.011412,0.526316,1.625,16.083333
2006-01-01,Linn,0.035647,0.242105,0.75,2.916667
2006-01-01,Wyandotte,0.01,0.7,8.583333,24.083333
2006-01-01,East Baton Rouge,0.009824,0.205263,1.958333,8.523810000000001
2006-01-01,Jefferson,0.012706,0.8,0.166667,6.095238
2006-01-01,Aroostook,0.030235,0.2,2.943478,2.808696
2006-01-01,Suffolk,0.003294,0.3,5.7083330000000005,21.818182
2006-01-01,Camden,0.002706,0.8578950000000001,4.5,18.833333
2006-01-01,Bronx,0.000294,0.6947369999999999,19.416667,21.625
2006-01-01,Queens,0.000588,0.647368,16.166667,21.541667
2006-01-01,Suffolk,0.009471,0.126316,9.375,17.125
2006-01-01,Philadelphia,0.000765,0.8315790000000001,5.8333330000000005,18.416667
2006-01-01,Dallas,0.026588,0.310526,0.875,10.35
2006-01-01,El Paso,0.034118,0.142105,0.041667,7.4
2006-01-01,El Paso,0.039882,0.157895,0.083333,1.15
2006-01-01,Harris,0.0168819999999999,0.031579,12.166667,0.8
2006-01-01,Fairfax,0.006647,0.336842,3.416667,6.5833330000000005
2006-01-01,Fairfax,0.0065879999999999,0.284211,5.541667,16.583333
2006-01-01,Fairfax,0.0072349999999999,0.715789,7.875,10.458333
2006-01-01,Milwaukee,0.011471,0.3,3.333333,10.708333
2007-01-01,Maricopa,0.012353,1.347368,2.791667,31.083333000000003
2007-01-01,Maricopa,0.010294,1.115789,1.958333,25.666667
2007-01-01,Maricopa,0.011059,1.7631580000000002,1.833333,32.125
2007-01-01,Pima,0.014294,0.426316,1.208333,18.791667
2007-01-01,Pulaski,0.023529,0.916667,2.0,5.2083330000000005
2007-01-01,Contra Costa,0.008647,0.555556,1.727273,15.652174
2007-01-01,Contra Costa,0.013882,0.288889,1.272727,8.695652
2007-01-01,Contra Costa,0.006059,0.633333,2.0,16.565217
2007-01-01,Contra Costa,0.011765,0.427778,2.636364,10.956522
2007-01-01,Imperial,0.023294,0.333333,0.130435,7.347825999999999
2007-01-01,Los Angeles,0.031353,0.855556,0.173913,17.391304
2007-01-01,Los Angeles,0.009706,0.7277779999999999,1.782609,30.391304
2007-01-01,Los Angeles,0.011765,0.783333,7.434783,29.782609000000004
2007-01-01,Los Angeles,0.016176,0.6,4.565217,31.173913
2007-01-01,Orange,0.021118,0.533333,0.695652,23.521739
2007-01-01,Riverside,0.037235,0.777778,1.565217,12.130435
2007-01-01,Sacramento,0.020588,0.438889,0.0,8.913043
2007-01-01,San Bernardino,0.021706,0.236842,0.608696,17.826087
2007-01-01,San Diego,0.027412,0.8888889999999999,2.086957,20.73913
2007-01-01,San Diego,0.020471,0.827778,2.130435,24.434783
2007-01-01,San Diego,0.018647,0.566667,3.0,21.0
2007-01-01,San Francisco,0.005294,0.738889,2.863636,25.304348
2007-01-01,Santa Barbara,0.041588,0.2,0.0,2.130435
2007-01-01,Santa Barbara,0.022941,0.294444,0.434783,5.043478
2007-01-01,Santa Barbara,0.016176,0.35,0.181818,11.173913
2007-01-01,Santa Barbara,0.038235,0.0,0.782609,1.347826
2007-01-01,Santa Cruz,0.019529,0.363158,2.0,3.25
2007-01-01,Solano,0.0065879999999999,0.977778,1.545455,14.043478
2007-01-01,Adams,0.013412,1.089474,1.391304,40.913043
2007-01-01,Denver,0.006235,1.147368,4.826087,48.434783
2007-01-01,District of Columbia,0.009941,0.984211,2.541667,14.791667000000002
2007-01-01,Hillsborough,0.017706,0.2,0.041667,2.791667
2007-01-01,Orange,0.018824,0.389474,0.041667,3.5
2007-01-01,Saint Clair,0.012412,0.294737,0.208333,10.25
2007-01-01,Wyandotte,0.010353,0.084211,5.791667,9.125
2007-01-01,East Baton Rouge,0.018118,0.0,12.708333,9.416667
2007-01-01,Aroostook,0.026176,0.2,1.422727,2.804545
2007-01-01,Prince George's,0.009059,0.2,0.5625,11.0
2007-01-01,Suffolk,0.004471,0.384211,2.826087,23.826087
2007-01-01,Bronx,0.008765,0.684211,6.5833330000000005,27.666667
2007-01-01,Queens,0.0,0.521053,3.25,21.333333
2007-01-01,Mecklenburg,0.024059,0.426316,0.295833,4.25
2007-01-01,Mecklenburg,0.024059,0.152632,0.295833,4.25
2007-01-01,Tulsa,0.013647,0.378947,0.404167,9.416667
2007-01-01,Philadelphia,0.004824,0.294444,2.347826,21.0
2007-01-01,Charleston,0.024588,0.068421,0.166667,1.375
2007-01-01,Dallas,0.017882,0.263158,0.0,12.625
2007-01-01,El Paso,0.034647,0.178947,0.0,13.125
2007-01-01,El Paso,0.031588,0.1,0.0,6.416667
2007-01-01,Harris,0.015529,0.194737,1.791667,16.708333
2007-01-01,Harris,0.013353,0.2,3.416667,15.25
2007-01-01,Fairfax,0.009176,0.957895,1.916667,8.0
2007-01-01,Fairfax,0.008588,0.452632,4.041667,13.666667000000002
2007-01-01,Fairfax,0.009235,0.7,2.208333,13.791667000000002
2007-01-01,Milwaukee,0.018882,0.3,2.0,8.791667
2007-01-01,Uinta,0.030529,0.026316,2.433333,3.458333
2008-01-01,Maricopa,0.033235,0.789474,1.125,24.666667
2008-01-01,Maricopa,0.035765,0.342105,2.0,5.791667
2008-01-01,Maricopa,0.037176,0.447368,2.0,12.875
2008-01-01,Pima,0.0344709999999999,0.431579,0.375,16.5
2008-01-01,Pulaski,0.034647,0.815789,3.652174,2.041667
2008-01-01,Alameda,0.009059,0.327778,1.130435,16.043478
2008-01-01,Contra Costa,0.011294,0.461111,1.045455,13.347826
2008-01-01,Contra Costa,0.01,0.327778,1.0,10.565217
2008-01-01,Contra Costa,0.020235,0.3,3.681818,10.565217
2008-01-01,Contra Costa,0.010412,0.4,1.318182,15.826087
2008-01-01,Fresno,0.010235,0.766667,0.608696,20.565217
2008-01-01,Humboldt,0.009412,1.033333,1.0,12.142857
2008-01-01,Imperial,0.026176,0.5222220000000001,0.0,8.565217
2008-01-01,Los Angeles,0.010765,0.6888890000000001,1.391304,28.69565200000001
2008-01-01,Los Angeles,0.019176,0.483333,1.217391,18.772727
2008-01-01,Los Angeles,0.027235,0.283333,3.26087,15.913043
2008-01-01,Orange,0.010353,0.805556,1.608696,30.26087
2008-01-01,Riverside,0.033588,0.455556,0.0,4.565217
2008-01-01,Sacramento,0.023059,0.5444439999999999,0.5217390000000001,29.434783000000003
2008-01-01,Sacramento,0.008118,0.638889,0.391304,12.826087
2008-01-01,San Bernardino,0.017765,0.189474,0.478261,11.695652
2008-01-01,San Diego,0.041118,0.5388890000000001,3.043478,12.608696
2008-01-01,San Diego,0.009647,1.277778,2.0,32.652174
2008-01-01,San Diego,0.042529,0.433333,1.0,4.826087
2008-01-01,San Francisco,0.007647,0.505556,1.545455,21.913043
2008-01-01,Santa Barbara,0.044,0.0,1.478261,2.0
2008-01-01,Santa Barbara,0.013824,0.255556,1.0,13.0
2008-01-01,Santa Barbara,0.013412,0.283333,0.0,11.478261
2008-01-01,Santa Barbara,0.038176,0.0,0.26087,1.391304
2008-01-01,Santa Cruz,0.030353,0.263158,1.0,2.5
2008-01-01,Solano,0.020059,0.3,0.727273,9.478261
2008-01-01,Solano,0.021353,0.227778,0.434783,7.521739
2008-01-01,Adams,0.015941,0.478947,0.304348,23.130435
2008-01-01,Denver,0.009294,0.426316,2.695652,20.782609
2008-01-01,District of Columbia,0.009941,0.984211,2.541667,14.791667000000002
2008-01-01,Hillsborough,0.038353,0.236842,2.0,4.916667
2008-01-01,Orange,0.036824,0.557895,0.0,6.5833330000000005
2008-01-01,Cook,0.015471,0.2,0.583333,7.25
